Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
26-07-2024,14:00:00,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,null,Personal & Car related issue,null,null,444.00,null,0.00,null,null
25-07-2024,22:20:00,CNR2940424040,Success,CID225428,Bike,null,null,No,null,158.00,Cash,13.00,4.10,4.00
30-07-2024,19:59:00,CNR2982357879,Success,CID270156,Prime SUV,null,null,No,null,386.00,UPI,40.00,4.20,4.80
22-07-2024,03:15:00,CNR2395710036,Canceled by Customer,CID581320,eBike,Driver is not moving towards pickup location,null,null,null,384.00,null,0.00,null,null
02-07-2024,09:02:00,CNR1797421769,Success,CID939555,Mini,null,null,No,null,822.00,Credit Card,45.00,4.00,3.00
13-07-2024,04:42:00,CNR8787177882,Success,CID802429,Mini,null,null,No,null,173.00,UPI,41.00,3.40,4.60
23-07-2024,09:51:00,CNR3612067560,Success,CID476071,Bike,null,null,No,null,140.00,Cash,49.00,3.20,4.50
11-07-2024,11:12:00,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,null,Personal & Car related issue,null,null,344.00,null,0.00,null,null
01-07-2024,19:19:00,CNR5030602354,Driver Not Found,CID999840,Mini,null,null,null,null,839.00,null,0.00,null,null
18-07-2024,01:31:00,CNR6328453219,Canceled by Driver,CID907133,Auto,null,Personal & Car related issue,null,null,893.00,null,0.00,null,null
29-07-2024,23:33:00,CNR4787583516,Success,CID923404,Prime Plus,null,null,No,null,164.00,Cash,46.00,4.50,3.40
26-07-2024,04:03:00,CNR7943634301,Success,CID647026,Prime Plus,null,null,No,null,399.00,Cash,18.00,3.90,4.40
27-07-2024,13:18:00,CNR4524472111,Success,CID540929,Auto,null,null,No,null,330.00,UPI,8.00,3.00,4.80
17-07-2024,18:55:00,CNR3914552212,Canceled by Driver,CID557845,Auto,null,Personal & Car related issue,null,null,427.00,null,0.00,null,null
16-07-2024,09:54:00,CNR8181602032,Success,CID167642,Bike,null,null,No,null,378.00,UPI,18.00,4.80,4.10
02-07-2024,10:25:00,CNR8090918544,Success,CID640151,Bike,null,null,No,null,343.00,UPI,23.00,3.70,3.60
02-07-2024,23:50:00,CNR3211335290,Driver Not Found,CID630354,Mini,null,null,null,null,366.00,null,0.00,null,null
05-07-2024,23:42:00,CNR3196156650,Success,CID243275,Bike,null,null,No,null,401.00,Cash,8.00,3.30,3.90
09-07-2024,11:11:00,CNR9975925287,Success,CID162055,Prime SUV,null,null,No,null,343.00,UPI,17.00,3.00,3.80
12-07-2024,14:44:00,CNR1591113431,Success,CID902781,eBike,null,null,No,null,2014.00,Cash,33.00,4.20,4.90
11-07-2024,20:42:00,CNR3650331573,Success,CID217093,eBike,null,null,No,null,650.00,Cash,34.00,4.90,3.40
08-07-2024,22:33:00,CNR6013805089,Success,CID817034,Prime Sedan,null,null,No,null,231.00,Cash,2.00,3.20,3.70
16-07-2024,10:17:00,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,null,Customer was coughing/sick,null,null,909.00,null,0.00,null,null
03-07-2024,18:20:00,CNR9832070187,Success,CID655872,Bike,null,null,No,null,189.00,Cash,6.00,4.90,3.30
03-07-2024,21:17:00,CNR5620539253,Success,CID290480,Prime Plus,null,null,No,null,311.00,Cash,28.00,4.30,3.00
19-07-2024,21:18:00,CNR4443921904,Success,CID654618,Mini,null,null,No,null,286.00,UPI,44.00,4.00,3.30
25-07-2024,03:44:00,CNR7194303296,Success,CID538245,Mini,null,null,No,null,141.00,UPI,35.00,4.70,3.10
15-07-2024,17:11:00,CNR6494005067,Success,CID805360,Auto,null,null,No,null,214.00,UPI,2.00,3.30,4.50
30-07-2024,19:44:00,CNR6805579107,Success,CID810214,Prime SUV,null,null,No,null,2183.00,Cash,20.00,4.00,4.40
21-07-2024,08:26:00,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Driver asked to cancel,null,null,null,604.00,null,0.00,null,null
23-07-2024,07:04:00,CNR2998177390,Driver Not Found,CID946041,Auto,null,null,null,null,802.00,null,0.00,null,null
27-07-2024,06:18:00,CNR7979458138,Success,CID978509,eBike,null,null,No,null,1095.00,Cash,38.00,4.80,4.70
23-07-2024,10:17:00,CNR7286474506,Canceled by Customer,CID500806,eBike,Driver is not moving towards pickup location,null,null,null,120.00,null,0.00,null,null
23-07-2024,12:56:00,CNR9820692957,Success,CID625327,Prime Sedan,null,null,No,null,241.00,Cash,33.00,3.20,3.50
08-07-2024,11:52:00,CNR4094067439,Success,CID896062,Prime Sedan,null,null,No,null,475.00,Cash,45.00,4.30,3.10
14-07-2024,05:25:00,CNR7142279862,Success,CID378034,eBike,null,null,No,null,461.00,UPI,49.00,4.50,3.10
23-07-2024,09:33:00,CNR5488574120,Canceled by Driver,CID169284,Auto,null,Customer related issue,null,null,783.00,null,0.00,null,null
03-07-2024,16:16:00,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,null,Customer was coughing/sick,null,null,995.00,null,0.00,null,null
03-07-2024,00:58:00,CNR5176704322,Success,CID296026,Prime Plus,null,null,Yes,Customer Demand,1102.00,UPI,41.00,3.10,3.50
24-07-2024,17:31:00,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,null,Customer related issue,null,null,170.00,null,0.00,null,null
10-07-2024,21:56:00,CNR7547352327,Success,CID976231,Prime Plus,null,null,No,null,444.00,UPI,6.00,3.80,4.90
20-07-2024,15:30:00,CNR9660405769,Canceled by Driver,CID483311,eBike,null,Customer related issue,null,null,1130.00,null,0.00,null,null
11-07-2024,03:22:00,CNR4251304471,Success,CID888740,Prime SUV,null,null,No,null,876.00,Cash,21.00,4.70,3.30
06-07-2024,15:02:00,CNR1568684278,Success,CID709612,Prime Plus,null,null,No,null,680.00,UPI,24.00,4.70,3.80
05-07-2024,20:28:00,CNR2230045814,Success,CID961125,Prime SUV,null,null,No,null,425.00,Cash,11.00,3.50,4.60
11-07-2024,11:28:00,CNR7871058089,Success,CID221021,Mini,null,null,No,null,989.00,Cash,4.00,4.50,4.20
16-07-2024,16:25:00,CNR5503358927,Driver Not Found,CID552049,Bike,null,null,null,null,594.00,null,0.00,null,null
12-07-2024,18:02:00,CNR2708187615,Success,CID415325,Prime Plus,null,null,No,null,443.00,Cash,5.00,3.40,3.10
16-07-2024,22:35:00,CNR1625119636,Success,CID745270,eBike,null,null,No,null,721.00,Cash,19.00,3.80,4.70
26-07-2024,13:20:00,CNR9312632867,Success,CID649563,Prime SUV,null,null,Yes,Vehicle Breakdown,2936.00,Cash,34.00,4.10,4.60
25-07-2024,03:33:00,CNR5274603340,Success,CID477783,Prime SUV,null,null,No,null,747.00,Cash,25.00,5.00,3.50
17-07-2024,03:30:00,CNR1050003752,Success,CID993137,Bike,null,null,No,null,799.00,UPI,25.00,3.90,4.70
07-07-2024,05:59:00,CNR3603517873,Success,CID386651,eBike,null,null,No,null,300.00,Cash,14.00,3.30,4.60
01-07-2024,02:21:00,CNR1557960488,Driver Not Found,CID884386,Prime SUV,null,null,null,null,162.00,null,0.00,null,null
01-07-2024,02:45:00,CNR9758857830,Success,CID528642,Prime Plus,null,null,No,null,618.00,UPI,30.00,3.50,3.70
02-07-2024,04:17:00,CNR8080410192,Success,CID416746,eBike,null,null,No,null,251.00,UPI,9.00,5.00,4.40
13-07-2024,02:27:00,CNR1648186942,Canceled by Driver,CID713303,Bike,null,More than permitted people in there,null,null,543.00,null,0.00,null,null
25-07-2024,10:57:00,CNR2433490646,Success,CID954071,Mini,null,null,No,null,724.00,Cash,11.00,4.50,4.80
18-07-2024,00:37:00,CNR7825941026,Success,CID234007,Mini,null,null,No,null,316.00,UPI,27.00,3.10,4.70
22-07-2024,13:08:00,CNR9148580255,Success,CID164393,Prime SUV,null,null,No,null,138.00,UPI,24.00,5.00,3.00
